23,23,23,22,24,22,24,23,23,23,23,23,23,22,23,24,24,25,25,26,33,33,31,31,30,23,22,22,22,23,32,32,31,31,31,29,27,29,29,29,26,26,26,27,27,21,22,22,22,23,19,19,19,20,17
22,30,25,30,25,35,22,34,23,28,27,28,26,27,25,29,32,31,29,28,33,34,33,34,32,35,35,36,37,38,36,37,37,37,37,29,31,34,33,31,35,37,36,35,35,33,35,33,34,34,30,28,31,29,33
7,8,6,8,8,4,7,3,2,5,2,2,2,2,2,7,7,6,6,6,5,7,7,8,4,8,4,7,7,3,9,8,9,8,9,5,7,3,3,2,7,8,8,7,7,14,15,9,15,9,5,5,5,5,5
6,6,6,6,6,5,8,5,7,4,8,9,8,11,9,13,13,15,15,14,12,9,11,13,10,11,14,12,14,11,13,14,14,13,13,16,18,16,17,16,23,24,24,26,23,20,21,21,21,21,13,9,9,9,9
